iter	Logloss
0	0.404281411
1	0.261078684
2	0.1768067495
3	0.1239426419
4	0.08946741101
5	0.0666851433
6	0.05167034696
7	0.04154427801
8	0.03477091448
9	0.02933142793
10	0.02643764219
11	0.02446729261
12	0.02310434088
13	0.02102179816
14	0.0196359765
15	0.01885860736
16	0.01868188412
17	0.01791027456
18	0.01773317327
19	0.01754153981
20	0.01731443524
21	0.01707298459
22	0.0170462545
23	0.01702389664
24	0.01679666457
25	0.01669703794
26	0.01658254046
27	0.01628223888
28	0.01601801141
29	0.01594674364
30	0.01590961095
31	0.01588062265
32	0.0157840711
33	0.01576760695
34	0.01573154682
35	0.01568220808
36	0.01560129047
37	0.01559147967
38	0.01553689721
39	0.01549655204
40	0.01546417456
41	0.01534626576
42	0.01532717248
43	0.01531160235
44	0.01528727131
45	0.01527357288
46	0.01526140303
47	0.01522039777
48	0.01521388965
49	0.01520253413
50	0.01518736749
51	0.01517702256
52	0.01516720867
53	0.0151577988
54	0.01514805706
55	0.0151104236
56	0.01505851064
57	0.0150457051
58	0.01503726274
59	0.01503178689
60	0.01502419775
61	0.01501712471
62	0.01501058152
63	0.01483904301
64	0.01483318421
65	0.01481019024
66	0.01480006749
67	0.01479401866
68	0.01479038857
69	0.0147505111
70	0.01474053699
71	0.01472444293
72	0.01469533313
73	0.01469141721
74	0.01454914333
75	0.01452619561
76	0.01451187925
77	0.01450074825
78	0.01447231432
79	0.01440670705
80	0.01438894951
81	0.01437315547
82	0.01434467925
83	0.0143302576
84	0.01431607083
85	0.01428142751
86	0.0142678247
87	0.0142554401
88	0.01424409826
89	0.01419475246
90	0.01404896277
91	0.01391653059
92	0.01386687654
93	0.01386130407
94	0.01378456342
95	0.01375433325
96	0.01371407506
97	0.01370275373
98	0.0136874847
99	0.01361339833
